name,artists,danceability,energy,loudness,speechiness,tempo,duration_ms,duration_ms
god's plan,drake,0.754,0.449,-9.211,0.109,77.169,198973,3.32
sad!,xxxtentacion,0.74,0.613,-4.88,0.145,75.023,166606,2.78
rockstar (feat. 21 savage),post malone,0.587,0.535,-6.09,0.0898,159.847,218147,3.64
psycho (feat. ty dolla $ign),post malone,0.739,0.559,-8.011,0.117,140.124,221440,3.69
in my feelings,drake,0.835,0.626,-5.833,0.125,91.03,217925,3.63
better now,post malone,0.68,0.563,-5.843,0.0454,145.028,231267,3.85
i like it,cardi b,0.816,0.726,-3.998,0.129,136.048,253390,4.22
one kiss (with dua lipa),calvin harris,0.791,0.862,-3.24,0.11,123.994,214847,3.58
idgaf,dua lipa,0.836,0.544,-5.975,0.0943,97.028,217947,3.63
friends,marshmello,0.626,0.88,-2.384,0.0504,95.079,202621,3.38
havana,camila cabello,0.765,0.523,-4.333,0.03,104.988,217307,3.62
lucid dreams,juice wrld,0.511,0.566,-7.23,0.2,83.903,239836,4.00
nice for what,drake,0.586,0.909,-6.474,0.0705,93.394,210747,3.51
girls like you (feat. cardi b),maroon 5,0.851,0.541,-6.825,0.0505,124.959,235545,3.93
the middle,zedd,0.753,0.657,-3.061,0.0449,107.01,184732,3.08
all the stars (with sza),kendrick lamar,0.698,0.633,-4.946,0.0597,96.924,232187,3.87
no tears left to cry,ariana grande,0.699,0.713,-5.507,0.0594,121.993,205920,3.43
x,nicky jam,0.595,0.773,-4.736,0.0549,180.073,173628,2.89
moonlight,xxxtentacion,0.921,0.537,-5.723,0.0804,128.009,135090,2.25
look alive (feat. drake),blocboy jb,0.922,0.581,-7.495,0.27,140.022,181263,3.02
"these days (feat. jess glynne, macklemore & dan caplen)",rudimental,0.653,0.809,-4.057,0.0474,92.213,210773,3.51
te bot? - remix,nio garcia,0.903,0.675,-3.445,0.214,96.507,417920,6.97
mine,bazzi,0.71,0.789,-3.874,0.0722,142.929,131064,2.18
youngblood,5 seconds of summer,0.596,0.854,-5.114,0.463,120.274,203418,3.39
new rules,dua lipa,0.762,0.7,-6.021,0.0694,116.073,209320,3.49
shape of you,ed sheeran,0.825,0.652,-3.183,0.0802,95.977,233713,3.90
love lies (with normani),khalid,0.708,0.648,-5.626,0.0449,143.955,201707,3.36
meant to be (feat. florida georgia line),bebe rexha,0.642,0.772,-6.61,0.0848,153.995,164205,2.74
jocelyn flores,xxxtentacion,0.872,0.391,-9.144,0.242,134.021,119133,1.99
perfect,ed sheeran,0.599,0.448,-6.312,0.0232,95.05,263400,4.39
taste (feat. offset),tyga,0.884,0.559,-7.442,0.12,97.994,232959,3.88
solo (feat. demi lovato),clean bandit,0.737,0.636,-4.546,0.0437,105.005,222653,3.71
i fall apart,post malone,0.556,0.538,-5.408,0.0382,143.95,223347,3.72
